Grupo Indicador;Indicador;Serie;Regiao;Base;Unidade;Periodicidade;Status;Ano;Trimestre;Mês;Data;Valor
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2013;1;Mar;41334;96,6
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2013;2;Abr;41365;89,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2013;2;Mai;41395;95,8
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2013;2;Jun;41426;91,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2013;3;Jul;41456;97
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2013;3;Ago;41487;100
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2013;3;Set;41518;94,6
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2013;4;Out;41548;100
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2013;4;Nov;41579;102
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2013;4;Dez;41609;129,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2014;1;Jan;41640;99,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2014;1;Fev;41671;90,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2014;1;Mar;41699;95,6
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2014;2;Abr;41730;95,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2014;2;Mai;41760;100,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2014;2;Jun;41791;92,6
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2014;3;Jul;41821;96,1
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2014;3;Ago;41852;99,1
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2014;3;Set;41883;95,1
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2014;4;Out;41913;102,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2014;4;Nov;41944;103,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2014;4;Dez;41974;130,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2015;1;Jan;42005;99,8
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2015;1;Fev;42036;87,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2015;1;Mar;42064;95,9
